"","index","semester","type","course","pre_post","si1","si2","si3","si4","si5","science_id_ave","cm1","cm2","cm3","cm4","cm5","career_mot_ave","im1","im2","im3","im4","im5","intrinsic_mot_ave","sd1","sd2","sd3","sd4","sd5","self_determition_ave","se1","se2","se3","se4","se5","self_efficacy_ave","gm1","gm2","gm3","gm4","gm5","grade_mot_ave","overall_sci_mot","sci_comp1","sci_comp2","sci_comp3","sci_comp4","sci_competancy_ave","per_comm_orient1","per_comm_orient2","per_comm_orient3","per_comm_orient4","persol_comm_orient_ave","sci_comm_orient1","sci_comm_orient2","sci_comm_orient3","sci_comm_orient4","sci_comm_orient_ave","resilience1","resilience2","resilience3","resilience4","resilience_ave","major","career","gender","ethnicity","parents_grad_college","dependents","med_condition","med_condition_dependent"
"14",14,"Fall 2021","Major","BIOL1610","Pre",5,5,4,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1.4,1,1,1,1,1,1,5,5,5,5,5,5,1.88,2,3,3,3,2.75,4,4,5,5,4.5,4,6,4,5,4.75,NA,NA,NA,NA,NA,"Biology","scientist","male","white","Yes",0,"No","No"
"15",15,"Fall 2021","Major","BIOL1610","Pre",5,4,4,4,3,4,4,5,5,5,4,4.6,5,5,5,4,4,4.6,4,4,4,4,4,4,4,5,5,5,5,4.8,5,5,4,4,1,3.8,4.36,2,3,4,5,3.5,3,3,5,5,4,3,6,6,5,5,NA,NA,NA,NA,NA,"Earth_sci",NA,"female","other","No",0,"Yes","Yes"
"16",16,"Fall 2021","Non-Major","BIOL1010","Pre",2,1,1,1,1,1.2,4,3,4,5,3,3.8,4,5,5,5,4,4.6,3,3,4,2,2,2.8,3,5,4,4,4,4,5,5,5,5,5,5,4.04,2,4,2,3,2.75,7,7,7,7,7,4,6,5,5,5,NA,NA,NA,NA,NA,"Other","educator","female","white","No",0,"No","No"
"17",17,"Fall 2021","Major","BIOL1610","Pre",3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,4,4.6,5,4,4,4,4,4.2,4,5,4,4,4,4.2,5,5,5,5,5,5,4.6,2,1,2,1,1.5,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","No",0,"No","No"
"18",18,"Summer 2021","Major","BIOL1610","Pre",4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,5,4,4.2,4,4,4,5,4,4.2,4,4,4,4,4,4,5,5,5,5,4,4.8,4.44,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,"Health_sci","dentist","female","white","Yes",0,"No","No"
"19",19,"Summer 2021","Major","BIOL1610","Pre",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4.2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,"Health_sci","dentist","female","white","Yes",0,"No","No"
"20",20,"Fall 2021","Major","BIOL1610","Pre",3,5,5,4,3,4,5,5,5,5,5,5,5,4,4,3,4,4,5,5,5,5,5,5,5,5,4,4,5,4.6,5,5,5,5,5,5,4.72,4,4,2,4,3.5,4,5,6,5,5,5,5,6,5,5.25,NA,NA,NA,NA,NA,"Other","scientist","female","white","Yes",0,"Yes","No"
"21",21,"Summer 2021","Major","BIOL1610","Pre",4,5,4,4,3,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3.8,4.16,4,5,5,4,4.5,4,3,4,3,3.5,4,5,5,5,4.75,4,3,4,3,3.5,"Computer_sci","technician","female","white","Yes",0,"No","No"
"22",22,"Fall 2021","Major","BIOL1610","Pre",4,5,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4.8,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","latinx","No",0,"No","No"
"23",23,"Fall 2021","Non-Major","BIOL1010","Pre",1,4,3,3,3,2.8,4,5,5,4,4,4.4,4,4,4,5,4,4.2,4,3,3,3,3,3.2,4,5,4,4,4,4.2,4,4,4,4,4,4,4,4,3,3,4,3.5,6,4,7,5,5.5,5,6,5,5,5.25,NA,NA,NA,NA,NA,"Engineering","engineer","male","white","Yes",0,"No","No"
"24",24,"Fall 2021","Major","BIOL1610","Pre",5,5,4,4,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4.6,5,5,5,5,5,5,5,5,5,5,3,4.6,4.84,4,4,3,5,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Biology","medical_doctor","male","arab","Yes",0,"No","No"
"25",25,"Summer 2021","Major","BIOL1610","Pre",3,4,3,4,3,3.4,1,1,2,2,1,1.4,2,2,2,3,3,2.4,3,2,2,3,3,2.6,4,4,4,4,4,4,5,5,5,5,3,4.6,3,3,4,3,4,3.5,5,3,6,3,4.25,5,5,5,4,4.75,4,5,4,4,4.25,"Health_sci",NA,"female","white","Yes",0,"Yes","No"
"26",26,"Summer 2021","Major","BIOL1610","Pre",2,2,3,3,3,2.6,4,4,4,4,4,4,5,4,4,3,3,3.8,4,4,4,3,3,3.6,4,4,4,3,4,3.8,4,4,5,4,3,4,3.84,2,3,3,4,3,4,5,4,6,4.75,5,6,4,6,5.25,3,5,5,4,4.25,"Health_sci","health_care_pro","female","latinx","No",1,"No","No"
"27",27,"Fall 2021","Non-Major","BIOL1010","Pre",5,4,2,4,3,3.6,4,5,5,5,5,4.8,5,5,5,5,5,5,3,4,4,3,3,3.4,4,5,4,4,4,4.2,5,5,5,5,5,5,4.48,4,4,1,3,3,4,1,4,4,3.25,4,7,7,7,6.25,NA,NA,NA,NA,NA,"Health_sci","dentist","female","white","Yes",0,"No","No"
"28",28,"Fall 2021","Major","BIOL1610","Pre",4,4,2,3,3,3.2,5,5,5,5,5,5,4,4,5,4,4,4.2,3,3,2,3,2,2.6,2,4,2,3,4,3,5,5,5,5,5,5,3.96,4,2,3,4,3.25,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"29",29,"Fall 2021","Major","BIOL1610","Pre",3,4,4,4,4,3.8,1,2,1,3,2,1.8,3,2,3,4,3,3,2,2,2,1,2,1.8,4,3,4,4,4,3.8,5,4,4,5,4,4.4,2.96,4,3,3,3,3.25,5,6,6,6,5.75,4,5,6,4,4.75,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","male","white","Yes",0,"No","No"
"30",30,"Fall 2021","Non-Major","BIOL1010","Pre",4,5,3,4,3,3.8,4,4,4,5,5,4.4,5,5,4,4,5,4.6,3,3,4,3,4,3.4,4,3,4,4,5,4,5,3,3,3,3,3.4,3.96,4,4,3,4,3.75,6,5,7,6,6,5,5,7,7,6,NA,NA,NA,NA,NA,"Other",NA,"male","white","Yes",0,"Yes","No"
"31",31,"Spring 2022","Non-Major","BIOL1010","Pre",4,2,1,1,3,2.2,4,4,4,4,2,3.6,5,5,4,5,5,4.8,5,5,5,3,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.56,4,3,4,4,3.75,5,4,5,3,4.25,4,4,4,5,4.25,NA,NA,NA,NA,NA,"Computer_sci",NA,"female","white","Yes",0,"No","No"
"32",32,"Fall 2021","Non-Major","BIOL1010","Pre",4,4,4,4,3,3.8,5,5,5,5,5,5,5,4,5,5,5,4.8,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,3,4.4,4.44,3,4,3,4,3.5,5,6,7,7,6.25,6,7,7,7,6.75,NA,NA,NA,NA,NA,"Other",NA,"female","latinx","No",0,"No","No"
"33",33,"Fall 2021","Major","BIOL1610","Pre",1,2,3,1,3,2,5,5,5,5,5,5,3,2,3,4,3,3,5,5,5,5,4,4.8,3,2,2,4,4,3,5,5,5,5,2,4.4,4.04,2,1,1,4,2,6,5,6,6,5.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Biology",NA,"male","white","Yes",0,"No","No"
"34",34,"Summer 2021","Major","BIOL1610","Pre",5,5,4,5,4,4.6,5,5,5,5,5,5,5,5,5,4,5,4.8,4,4,5,3,3,3.8,4,5,4,5,5,4.6,5,5,5,5,NA,5,4.64,3,3,4,3,3.25,6,6,6,6,6,3,3,3,2,2.75,3,3,3,3,3,"Health_sci","medical_doctor","female","white","No",0,"No","No"
"35",35,"Fall 2021","Non-Major","BIOL1010","Pre",4,4,3,2,2,3,4,4,5,4,4,4.2,4,4,3,3,4,3.6,4,4,3,4,4,3.8,4,4,3,4,4,3.8,4,3,2,3,2,2.8,3.64,4,4,3,4,3.75,6,6,6,7,6.25,5,5,6,6,5.5,NA,NA,NA,NA,NA,"Biology","health_care_pro","male","biracial","Yes",0,"No","No"
"36",36,"Fall 2021","Major","BIOL1610","Pre",4,4,3,4,4,3.8,1,1,1,1,1,1,5,4,5,4,4,4.4,4,4,5,4,4,4.2,4,4,4,4,4,4,5,5,5,5,5,5,3.72,2,2,2,2,2,5,5,6,6,5.5,5,5,5,5,5,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"37",37,"Summer 2021","Major","BIOL1610","Pre",4,4,3,5,3,3.8,5,5,5,5,5,5,5,4,4,5,5,4.6,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4.8,4.48,4,2,2,4,3,4,4,5,5,4.5,5,5,5,5,5,3,4,4,2,3.25,"Health_sci","health_care_pro","female","white","No",0,"No","No"
"38",38,"Fall 2021","Major","BIOL1610","Pre",5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,"Health_sci","medical_doctor","female","african_american","Yes",0,"No","No"
"39",39,"Spring 2022","Non-Major","BIOL1010","Pre",3,2,2,2,2,2.2,4,4,4,5,4,4.2,5,5,5,5,5,5,5,5,4,5,4,4.6,3,2,1,3,4,2.6,5,5,5,5,3,4.6,4.2,3,2,4,4,3.25,6,6,7,6,6.25,6,6,6,5,5.75,NA,NA,NA,NA,NA,"Computer_sci",NA,"prefer_not_answer","prefer_not_answer","Yes",1,"Yes","No"
"40",40,"Fall 2021","Major","BIOL1610","Pre",4,2,1,3,4,2.8,5,5,5,3,4,4.4,4,4,4,5,3,4,4,4,5,4,3,4,4,5,4,3,5,4.2,5,5,5,5,5,5,4.32,5,4,3,4,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Other",NA,"female","latinx","No",3,"No",NA
"41",41,"Fall 2021","Major","BIOL1610","Pre",1,1,5,5,3,3,3,1,5,5,1,3,5,4,4,3,3,3.8,5,5,5,3,4,4.4,5,5,5,5,5,5,5,5,5,5,5,5,4.24,3,3,4,5,3.75,6,6,6,6,6,6,6,5,3,5,NA,NA,NA,NA,NA,"Non_STEM","technician","female","biracial","Unsure",2,NA,NA
"42",42,"Fall 2021","Major","BIOL1610","Pre",4,4,4,4,4,4,4,5,5,5,5,4.8,5,4,4,4,5,4.4,5,4,5,4,4,4.4,5,5,4,4,4,4.4,5,4,5,5,2,4.2,4.44,3,3,4,4,3.5,6,6,6,5,5.75,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","white","Yes",0,"No","No"
"43",43,"Fall 2021","Non-Major","BIOL1010","Pre",3,3,1,4,2,2.6,4,4,4,4,4,4,4,4,3,4,4,3.8,4,4,4,2,4,3.6,2,2,2,2,4,2.4,5,4,4,4,5,4.4,3.64,2,3,2,3,2.5,7,7,7,7,7,4,4,4,4,4,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"44",44,"Fall 2021","Major","BIOL1610","Pre",3,4,3,4,3,3.4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,5,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","african_american","No",5,"No","No"
"45",45,"Spring 2022","Non-Major","BIOL1010","Pre",2,4,1,2,2,2.2,2,2,2,4,2,2.4,4,4,4,4,4,4,2,2,4,3,2,2.6,2,4,4,4,4,3.6,4,5,5,5,5,4.8,3.48,2,2,2,4,2.5,5,4,5,5,4.75,5,5,4,4,4.5,NA,NA,NA,NA,NA,"Non_STEM","non_stem","female","white","Yes",0,"No","No"
"46",46,"Fall 2021","Major","BIOL1610","Pre",2,3,2,3,3,2.6,3,4,4,4,4,3.8,3,4,4,3,3,3.4,4,4,5,4,4,4.2,4,4,4,4,3,3.8,4,4,5,4,4,4.2,3.88,2,3,2,3,2.5,5,5,5,5,5,5,5,5,4,4.75,NA,NA,NA,NA,NA,"Health_sci",NA,"female","white","Yes",0,"No","No"
"47",47,"Fall 2021","Major","BIOL1610","Pre",2,2,2,2,2,2,4,2,2,4,2,2.8,4,4,2,3,3,3.2,3,4,4,4,3,3.6,3,4,4,4,4,3.8,5,5,5,5,2,4.4,3.56,2,2,1,2,1.75,5,4,5,5,4.75,4,6,3,3,4,NA,NA,NA,NA,NA,"Health_sci",NA,"male","latinx","No",1,"Yes","No"
"48",48,"Summer 2021","Major","BIOL1610","Pre",2,2,2,2,3,2.2,2,1,1,1,1,1.2,5,4,4,4,4,4.2,4,5,5,5,5,4.8,5,5,4,5,5,4.8,5,5,5,5,3,4.6,3.92,3,2,2,4,2.75,6,6,6,6,6,6,6,6,6,6,5,5,5,4,4.75,"Health_sci","health_care_pro","female","white","Yes",4,"No","No"
"49",49,"Fall 2021","Major","BIOL1610","Pre",4,4,4,4,4,4,1,1,2,1,1,1.2,1,2,1,2,2,1.6,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,1.8,1.52,4,4,4,4,4,5,6,6,6,5.75,5,6,6,6,5.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","pacific_islander","Yes",0,"No","No"
"50",50,"Fall 2021","Major","BIOL1610","Pre",2,1,1,2,1,1.4,1,1,1,1,1,1,4,3,4,2,2,3,4,4,3,3,3,3.4,3,4,3,4,4,3.6,5,5,5,5,3,4.6,3.12,1,4,4,3,3,5,5,3,5,4.5,3,3,4,3,3.25,NA,NA,NA,NA,NA,"Biology","dentist","female","white","Yes",0,"No","No"
"51",51,"Summer 2021","Major","BIOL1610","Pre",2,3,2,2,3,2.4,5,5,5,5,5,5,4,3,3,4,4,3.6,4,4,4,4,3,3.8,3,4,4,4,5,4,5,5,5,5,4,4.8,4.24,4,4,4,2,3.5,4,6,5,6,5.25,5,6,6,6,5.75,5,4,4,3,4,"Health_sci","health_care_pro","male","latinx","No",0,"No","No"
"52",52,"Fall 2021","Major","BIOL1610","Pre",3,4,3,3,3,3.2,4,4,4,4,3,3.8,4,4,3,3,4,3.6,3,4,4,3,4,3.6,3,3,3,3,3,3,5,5,5,5,3,4.6,3.72,1,4,2,4,2.75,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","latinx","Unsure",0,"Yes","No"
"53",53,"Fall 2021","Non-Major","BIOL1010","Pre",3,3,3,2,2,2.6,4,5,4,4,2,3.8,4,4,3,4,4,3.8,3,4,3,3,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,2,3,3,3,2.75,6,5,6,5,5.5,5,5,5,5,5,NA,NA,NA,NA,NA,"Mathematics",NA,"male","white","Yes",0,"No","No"
"54",54,"Fall 2021","Non-Major","BIOL1010","Pre",2,4,2,2,3,2.6,5,4,4,5,4,4.4,4,4,4,3,4,3.8,4,5,5,4,4,4.4,5,5,5,4,5,4.8,5,5,5,5,5,5,4.48,5,2,4,4,3.75,7,6,7,7,6.75,6,7,6,6,6.25,NA,NA,NA,NA,NA,"Engineering","engineer","female","white","Yes",0,"No","No"
"55",55,"Fall 2021","Non-Major","BIOL1010","Pre",2,2,2,3,4,2.6,3,4,3,5,2,3.4,3,4,4,3,2,3.2,4,4,4,3,3,3.6,3,3,3,4,4,3.4,5,5,4,5,3,4.4,3.6,2,1,2,3,2,7,6,7,6,6.5,6,5,6,7,6,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"56",56,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,2,4,3,3.2,3,3,3,2,3,2.8,4,5,4,4,5,4.4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,3,4.4,4.12,3,4,3,4,3.5,5,5,5,5,5,6,6,6,6,6,NA,NA,NA,NA,NA,"Other",NA,"female","white","No",0,"Yes","No"
"57",57,"Fall 2021","Major","BIOL1610","Pre",3,4,4,4,4,3.8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,6,4,6,6,5.5,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci",NA,"female","white","Yes",0,"No","No"
"58",58,"Spring 2022","Non-Major","BIOL1010","Pre",1,1,1,1,2,1.2,2,3,4,4,1,2.8,4,4,4,2,3,3.4,4,4,4,3,3,3.6,4,5,5,4,4,4.4,5,5,5,5,5,5,3.84,4,4,4,2,3.5,6,6,6,6,6,2,3,1,4,2.5,NA,NA,NA,NA,NA,"Other",NA,"male","white","Yes",0,"No","No"
"59",59,"Spring 2022","Non-Major","BIOL1010","Pre",4,4,3,5,3,3.8,4,3,5,4,3,3.8,5,5,5,5,5,5,4,5,4,4,4,4.2,5,5,5,5,5,5,5,5,5,5,3,4.6,4.52,4,5,2,5,4,6,5,6,6,5.75,5,6,6,6,5.75,NA,NA,NA,NA,NA,"Non_STEM","non_stem","male","asian","Unsure",0,"No","No"
"60",60,"Fall 2021","Major","BIOL1610","Pre",4,5,4,4,3,4,1,1,1,1,1,1,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,3,4.6,3.72,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",4,"No","No"
"61",61,"Fall 2021","Major","BIOL1610","Pre",4,4,3,4,4,3.8,2,2,2,1,2,1.8,2,2,1,1,2,1.6,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1.48,4,4,4,3,3.75,5,4,5,5,4.75,4,5,5,5,4.75,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","male","white","Yes",0,"No","No"
"62",62,"Fall 2021","Non-Major","BIOL1010","Pre",2,3,4,2,3,2.8,3,3,4,4,3,3.4,3,2,3,4,3,3,4,4,4,3,3,3.6,4,5,4,4,4,4.2,5,5,5,5,4,4.8,3.8,3,2,4,3,3,6,5,6,6,5.75,5,6,5,5,5.25,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
"63",63,"Fall 2021","Major","BIOL1610","Pre",3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4.8,3,4,4,4,4,3.8,5,5,5,5,5,5,4.72,4,4,4,4,4,5,6,5,5,5.25,5,5,5,5,5,NA,NA,NA,NA,NA,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"64",64,"Fall 2021","Major","BIOL1610","Pre",4,5,5,5,3,4.4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4.6,5,5,5,5,3,4.6,4.04,5,4,5,5,4.75,5,6,6,6,5.75,6,6,6,6,6,NA,NA,NA,NA,NA,"Chemistry","medical_doctor","female","biracial","Yes",0,"Yes","No"
"65",65,"Fall 2021","Major","BIOL1610","Pre",4,5,5,5,3,4.4,5,5,5,5,5,5,5,4,5,5,5,4.8,5,4,5,5,5,4.8,5,4,4,5,4,4.4,5,5,5,5,5,5,4.8,4,5,5,5,4.75,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,"Chemistry","medical_doctor","female","biracial","Yes",0,"Yes","No"
"66",66,"Fall 2021","Major","BIOL1610","Pre",4,4,3,3,3,3.4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4.6,4,4,4,5,5,4.4,5,5,5,5,4,4.8,4.76,2,4,3,5,3.5,5,5,5,5,5,6,5,5,5,5.25,NA,NA,NA,NA,NA,"Health_sci","dentist","female","white","Yes",0,"No","No"
"67",67,"Fall 2021","Major","BIOL1610","Pre",4,4,3,4,3,3.6,2,2,2,3,3,2.4,4,4,2,4,4,3.6,5,5,4,4,5,4.6,4,5,5,4,5,4.6,5,5,5,5,4,4.8,4,2,1,2,4,2.25,5,6,6,6,5.75,4,4,6,4,4.5,NA,NA,NA,NA,NA,"Non_STEM","dentist","male","white","Yes",0,"No","No"
"68",68,"Summer 2021","Major","BIOL1610","Pre",2,2,1,2,2,1.8,4,5,5,5,4,4.6,3,4,4,4,4,3.8,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.68,1,3,3,2,2.25,5,4,5,5,4.75,3,3,4,4,3.5,3,3,4,4,3.5,"Health_sci","health_care_pro","female","white","Yes",0,"No","No"
"69",69,"Fall 2021","Major","BIOL1610","Pre",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3.2,3,3,3,3,3,3,3.04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,"Engineering","engineer","male","white","No",0,"Yes","No"
"70",70,"Spring 2022","Non-Major","BIOL1010","Pre",3,4,2,2,3,2.8,4,4,5,5,5,4.6,4,4,3,5,4,4,3,4,4,4,5,4,5,5,5,5,4,4.8,5,5,5,5,5,5,4.48,4,2,2,4,3,6,5,6,6,5.75,6,6,6,5,5.75,NA,NA,NA,NA,NA,"Other",NA,"female","white","Yes",0,"No","No"
